MCDA MOSE Design Alternatives;;;;;;;
Stakeholder;Criteria;Do Nothing;Open lagoon with visible closable ports;Open lagoon with invisible closable ports;Ring dike whole lagoon;Ring dike Venice;Criteria_Weight
Italian State;Operational safety;100;10;0;20;20;0.10
Italian State;Operational financial risk;100;40;30;60;0;0.10
Italian State;Flood control;0;80;80;100;90;0.30
Italian State;Preservation regional aesthetics;0;70;100;0;0;0.025
Italian State;Ecosystem preservation;100;60;70;0;0;0.025
Italian State;Future proof;0;70;70;100;90;0.10
Italian State;Adaptability;0;100;100;10;20;0.05
Italian State;Flood control;0;70;70;90;100;0.15
Italian State;Total Costs;0;40;50;100;0;0.15
City of Venice;Flood control;0;70;70;90;100;0.60
City of Venice;Preservation regional aesthetics;0;70;100;0;0;0.30
City of Venice;Future proof;0;70;70;100;90;0.10
Port Authority;Ship passage;100;50;40;0;20;0.80
Port Authority;Flood control;0;70;70;90;100;0.20
Lagoon Scientists / NoMOSE;Sustainability;50;60;100;0;0;0.10
Lagoon Scientists / NoMOSE;Ecosystem preservation;100;60;70;0;0;0.90
Tourism Sector;Flood control;0;70;70;90;100;0.40
Tourism Sector;Preservation regional aesthetics;0;60;100;30;0;0.60
