MCDA Gold Coast Design Alternatives;;;;;;;
Stakeholder;Criteria;Do Nothing;Open lagoon with visable closable ports;Open lagoon with invisable closable ports;Ring dike whole lagoon;Ring dike Venice;Criteria_Weight
Venezia Nuova Consortium;Operational safety;100;10;0;20;20;0.2
Venezia Nuova Consortium;Operational financial risk;100;40;30;60;0;0.2
Venezia Nuova Consortium;flood control;0;80;80;100;90;0.60
Ministries of Public Works, Environment, Cultural Heritage and Scientific Research ;Preservation regional aestetics;0;70;100;0;0;0.05
Ministries of Public Works, Environment, Cultural Heritage and Scientific Research ;Ecosystem preservation;100;60;70;0;0;0.05
Ministries of Public Works, Environment, Cultural Heritage and Scientific Research ;Future proof;0;70;70;100;90;0.2
Ministries of Public Works, Environment, Cultural Heritage and Scientific Research ;Adaptability;0;100;100;10;20;0.1
Ministries of Public Works, Environment, Cultural Heritage and Scientific Research ;Flood control;0;70;70;90;100;0.3
Ministries of Public Works, Environment, Cultural Heritage and Scientific Research ;Total Costs;0;40;50;100;0;0.3
Environmentalist groups;Sustainability;50;60;100;0;0;0.1
Environmentalist groups;Ecosystem preservation;100;60;70;0;0;0.9
Local comunity;Flood control;0;70;70;90;100;0.6
Local comunity;Preservation regional aestetics;0;70;100;0;0;0.3
Local comunity;Future proof;0;70;70;100;90;0.1
Tourist Sector;Flood control;0;70;70;90;100;0.4
Tourist Sector;Preservation regional aestetics;0;60;100;30;0;0.6
Industries;Ship passage;100;50;40;0;20;0.8
Industries;Flood control;0;70;70;90;100;0.2
